   5003 la_plat+  20   0  215124  37260  28996 S   0.0   1.9   0:00.05 Socket +
   5020 la_plat+  20   0 2460664 123120  92720 S   0.0   6.2   0:01.79 Privile+
   5071 la_plat+  20   0 2438956  95892  77824 S   0.0   4.8   0:00.52 WebExte+
   5098 la_plat+  20   0 2650652 203436  97228 S   0.0  10.3   0:16.04 Isolate+
   5142 la_plat+  20   0 2412528  69432  57808 S   0.0   3.5   0:00.10 Web Con+
   5145 la_plat+  20   0 2412528  69648  58072 S   0.0   3.5   0:00.11 Web Con+
   5148 la_plat+  20   0 2412528  69288  57744 S   0.0   3.5   0:00.11 Web Con+
   5380 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
   5384 la_plat+  20   0    5912    892    804 S   0.0   0.0   0:00.00 tail
   5385 la_plat+  20   0    6412   1040    920 S   0.0   0.1   0:00.00 sed
